id,censored,time,how_end,sex,race,age,education,parent
4022,FALSE,9,Legally Separated,Female,White or Other,32.583333333333336,High school,FALSE
4025,FALSE,1.0833333333333333,Divorced,Male,White or Other,36.5,High school,FALSE
4027,FALSE,11,Divorced,Female,White or Other,25.083333333333332,College,FALSE
4028,FALSE,7,Divorced,Female,White or Other,25.333333333333332,High school,FALSE
4029,FALSE,1.0833333333333333,Divorced,Male,White or Other,26.5,High school,FALSE
4030,TRUE,14.416666666666666,Censored,Male,White or Other,24.583333333333332,High school,TRUE
4031,FALSE,5,Divorced,Male,White or Other,19.25,High school,FALSE
4032,TRUE,8.5,Censored,Female,White or Other,33.083333333333336,College,FALSE
4034,FALSE,6.916666666666667,Divorced,Female,White or Other,25.5,High school,TRUE
4035,FALSE,2.9166666666666665,Divorced,Female,White or Other,22.333333333333332,High school,TRUE
4036,TRUE,3.25,Censored,Female,White or Other,24.25,High school,FALSE
4037,TRUE,5,Censored,Male,White or Other,36.083333333333336,High school,TRUE
4038,FALSE,4.75,Divorced,Male,White or Other,29,High school,TRUE
4039,FALSE,1.9166666666666667,Divorced,Female,Black,24.416666666666668,High school,FALSE
4040,TRUE,15.916666666666666,Censored,Female,White or Other,25.583333333333332,High school,TRUE
4041,TRUE,2.6666666666666665,Censored,Male,White or Other,38.083333333333336,College,FALSE
4042,FALSE,5.333333333333333,Legally Separated,Female,White or Other,23.916666666666668,High school,FALSE
4043,FALSE,0.08333333333333333,Legally Separated,Male,White or Other,21.25,Less than high school,FALSE
4045,TRUE,12.666666666666666,Censored,Male,White or Other,28.916666666666668,High school,TRUE
4046,FALSE,0.16666666666666666,Legally Separated,Female,Black,21.583333333333332,High school,TRUE
4048,FALSE,1.6666666666666667,Legally Separated,Male,White or Other,28.416666666666668,High school,TRUE
4049,TRUE,15.25,Censored,Female,White or Other,26.416666666666668,High school,FALSE
4050,TRUE,0.8333333333333334,Censored,Male,White or Other,29.166666666666668,High school,FALSE
4051,TRUE,15.666666666666666,Censored,Male,White or Other,23.75,High school,FALSE
4052,FALSE,4.416666666666667,Divorced,Female,White or Other,24.25,High school,TRUE
4053,FALSE,2.5833333333333335,Divorced,Female,White or Other,27.416666666666668,College,FALSE
4056,FALSE,0.6666666666666666,Legally Separated,Male,White or Other,24.75,Less than high school,FALSE
4057,TRUE,9.333333333333334,Censored,Male,White or Other,32,High school,FALSE
4061,TRUE,14.416666666666666,Censored,Female,White or Other,20.833333333333332,High school,FALSE
4062,FALSE,2.8333333333333335,Divorced,Female,White or Other,29.833333333333332,College,FALSE
4064,TRUE,16.166666666666668,Censored,Male,White or Other,24.583333333333332,High school,TRUE
4066,TRUE,17.333333333333332,Censored,Male,White or Other,24.666666666666668,Less than high school,TRUE
4070,FALSE,3.1666666666666665,Legally Separated,Male,White or Other,29,High school,FALSE
4071,TRUE,10.5,Censored,Female,White or Other,28.833333333333332,High school,FALSE
4072,FALSE,4.416666666666667,Divorced,Male,White or Other,21.083333333333332,High school,TRUE
4073,TRUE,13.5,Censored,Male,White or Other,26.25,High school,FALSE
4075,TRUE,18.083333333333332,Censored,Female,White or Other,23.416666666666668,High school,FALSE
4076,TRUE,11.833333333333334,Censored,Female,White or Other,29.583333333333332,High school,FALSE
4078,TRUE,20.916666666666668,Censored,Female,White or Other,20.333333333333332,High school,FALSE
4079,FALSE,2.6666666666666665,Divorced,Male,White or Other,26.583333333333332,High school,FALSE
4080,FALSE,8.416666666666666,Divorced,Male,Hispanic,29.583333333333332,High school,FALSE
4085,FALSE,4.916666666666667,Divorced,Male,White or Other,21.333333333333332,Less than high school,FALSE
4086,TRUE,17.083333333333332,Censored,Male,White or Other,24,High school,TRUE
4087,TRUE,16.25,Censored,Male,White or Other,24.75,High school,TRUE
4089,FALSE,11.333333333333334,Divorced,Female,Black,26.583333333333332,High school,TRUE
4091,FALSE,10.083333333333334,Divorced,Female,Black,23.083333333333332,High school,FALSE
4092,TRUE,3.5,Censored,Female,Black,37.25,High school,FALSE
4093,FALSE,3.3333333333333335,Divorced,Female,White or Other,21.083333333333332,Less than high school,TRUE
4094,FALSE,2.25,Legally Separated,Female,White or Other,32.75,High school,TRUE
4097,TRUE,18.416666666666668,Censored,Male,White or Other,23.25,High school,FALSE
4098,TRUE,15.25,Censored,Female,White or Other,26.25,College,FALSE
4099,FALSE,15.583333333333334,Divorced,Female,White or Other,25.916666666666668,High school,FALSE
4100,FALSE,11.166666666666666,Divorced,Male,White or Other,28.083333333333332,College,FALSE
4101,TRUE,12.166666666666666,Censored,Male,White or Other,29.083333333333332,College,FALSE
4103,TRUE,14.166666666666666,Censored,Female,Hispanic,25.166666666666668,College,FALSE
4104,TRUE,4.416666666666667,Censored,Female,White or Other,33.166666666666664,High school,FALSE
4105,FALSE,6.583333333333333,Divorced,Female,White or Other,22.75,High school,FALSE
4106,TRUE,2.0833333333333335,Censored,Male,White or Other,21.333333333333332,High school,FALSE
4107,FALSE,12.333333333333334,Legally Separated,Male,White or Other,24,High school,FALSE
4108,FALSE,3,Divorced,Male,White or Other,21.75,High school,FALSE
4111,FALSE,0.8333333333333334,Legally Separated,Female,White or Other,20.75,High school,TRUE
4112,TRUE,1.5,Censored,Male,White or Other,29.166666666666668,College,FALSE
4113,TRUE,8.666666666666666,Censored,Male,White or Other,33.416666666666664,College,FALSE
4114,TRUE,8.25,Censored,Female,White or Other,32.833333333333336,High school,FALSE
4115,FALSE,16.416666666666668,Divorced,Female,Hispanic,21.5,Less than high school,FALSE
4116,TRUE,16.333333333333332,Censored,Female,White or Other,21.083333333333332,High school,FALSE
4117,TRUE,19.583333333333332,Censored,Female,White or Other,19.416666666666668,Less than high school,TRUE
4118,TRUE,15.416666666666666,Censored,Female,White or Other,26.333333333333332,College,FALSE
